# tier|slug|name|icon (source: https://undecember.thein.ru/en/uniques/) ; type inferred later from icon prefix
10|FallenStarlight2handedBlunt|Fallen Starlight 2-handed Blunt|Icon_Equipment_TwoHand_MaceDummy
10|FallenStarlightBow|Fallen Starlight Bow|Icon_Equipment_BowDummy
10|FallenStarlightLongBow|Fallen Starlight Long Bow|Icon_Equipment_BowDummy
10|FallenStarlightSteelBow|Fallen Starlight Steel Bow|Icon_Equipment_MagicBowDummy
3|SilverSunset|Silver Sunset|Icon_Equipment_DaggerU009
9|LuckyFishingHook|Lucky Fishing Hook|Icon_Equipment_DaggerU001
16|PurifiersFang|Purifier's Fang|Icon_Equipment_DaggerU002
19|BenevolentTouch|Benevolent Touch|Icon_Equipment_DaggerU003
22|AcubensHeavyRain|Acuben's Heavy Rain|Icon_Equipment_DaggerU004
25|CasthorsLight|Casthor's Light|Icon_Equipment_DaggerU005
25|MoonHalo|Moon Halo|Icon_Equipment_DaggerU019
27|VespersVenomFang|Vesper's Venom Fang|Icon_Equipment_DaggerU006
28|LastChance|Last Chance|Icon_Equipment_DaggerU010
28|FiveColorSpark|Five Color Spark|Icon_Equipment_DaggerU012
30|LeftHandOfHatred|Left Hand of Hatred|Icon_Equipment_DaggerU007
30|IncreaseDisorderPurifiersFang|Increase Disorder Purifier's Fang|Icon_Equipment_DaggerU002
31|RightHandOfLove|Right Hand of Love|Icon_Equipment_DaggerU008
31|AbsoluteElementAcubensHeavyRain|Absolute Element Acuben's Heavy Rain|Icon_Equipment_DaggerU004
32|ConcentratedSenses|Concentrated Senses|Icon_Equipment_DaggerU017
32|CourierSilverSunset|Courier Silver Sunset|Icon_Equipment_DaggerU009
32|WeakenCasthorsLight|Weaken Casthor's Light|Icon_Equipment_DaggerU005
33|GoldenFrame|Golden Frame|Icon_Equipment_DaggerU015
33|AncientCatalystLuckyFishingHook|Ancient Catalyst Lucky Fishing Hook|Icon_Equipment_DaggerU001
33|TwistedFingertips|Twisted Fingertips|Icon_Equipment_DaggerU011
33|CauseConfusionVespersVenomFang|Cause Confusion Vesper's Venom Fang|Icon_Equipment_DaggerU006
34|RidgeOfDeath|Ridge of Death|Icon_Equipment_DaggerU012
34|TranscendentMoonHalo|Transcendent Moon Halo|Icon_Equipment_DaggerU019
34|TranscendentVespersVenomFang|Transcendent Vesper's Venom Fang|Icon_Equipment_DaggerU006
5|GuidingBranch|Guiding Branch|Icon_Equipment_SwordU001
9|DawnStartail|Dawn Startail|Icon_Equipment_SwordU002
12|PathToSurvival|Path to Survival|Icon_Equipment_swordU011
15|CaprisRetort|Capri's Retort|Icon_Equipment_SwordU003
18|CraftsmansIron|Craftsman's Iron|Icon_Equipment_SwordU004
21|LeosJudgment|Leo's Judgment|Icon_Equipment_SwordU005
24|Caspols1-handedSword|Caspol's 1-handed Sword|Icon_Equipment_SwordU006
27|SephdarsSuccess|Sephdar's Success|Icon_Equipment_SwordU007
28|ScorchedIce|Scorched Ice|Icon_Equipment_swordU009
30|VerityOfThreeRings|Verity of Three Rings|Icon_Equipment_swordU008
30|FlamingMeteorDawnStartail|Flaming Meteor Dawn Startail|Icon_Equipment_SwordU002
31|BladeOfLife|Blade of Life|Icon_Equipment_swordU010
31|LifeLustGuidingBranch|Life Lust Guiding Branch|Icon_Equipment_SwordU001
32|ComposedBravery|Composed Bravery|Icon_Equipment_SwordU016
32|FieryHandsCaprisRetort|Fiery Hands Capri's Retort|Icon_Equipment_SwordU003
32|WheelOfFateCraftsmansIron|Wheel of Fate Craftsman's Iron|Icon_Equipment_SwordU004
33|LifeLustPathToSurvival|Life Lust Path to Survival|Icon_Equipment_swordU011
33|ScreamingTongue|Screaming Tongue|Icon_Equipment_SwordU012
33|SacrosanctLeosJudgment|Sacrosanct Leo's Judgment|Icon_Equipment_SwordU005
34|WesternGrave|Western Grave|Icon_Equipment_SwordU013
35|TeneosCursed1handedSword|Teneo's Cursed 1-handed Sword|Icon_Equipment_SwordU017
7|AzureProvidence|Azure Providence|Icon_Equipment_AxeU001
13|RuddyFountain|Ruddy Fountain|Icon_Equipment_AxeU002
15|FriendOfTheResistance|Friend of the Resistance|Icon_Equipment_AxeU009
17|GanidasAxe|Ganida's Axe|Icon_Equipment_AxeU003
20|LeadJudge|Lead Judge|Icon_Equipment_AxeU004
23|MessengersToken|Messenger's Token|Icon_Equipment_AxeU005
25|BorealsBrilliance|Boreal's Brilliance|Icon_Equipment_AxeU006
27|MirasetisTsunami|Miraseti's Tsunami|Icon_Equipment_AxeU007
28|PredatorsBrand|Predator's Brand|Icon_Equipment_AxeU011
28|ChargersBenefit|Charger's Benefit|Icon_Equipment_AxeU010
30|NightSlaughterhouse|Night Slaughterhouse|Icon_Equipment_AxeU012
30|ContradictionBreakerRuddyFountain|Contradiction Breaker Ruddy Fountain|Icon_Equipment_AxeU002
31|CreepySmile|Creepy Smile|Icon_Equipment_AxeU013
31|FrostWindAzureProvidence|Frost Wind Azure Providence|Icon_Equipment_AxeU001
32|MouthOfIndulgence|Mouth of Indulgence|Icon_Equipment_AxeU017
32|RiverOfLifeGanidasAxe|River of Life Ganida's Axe|Icon_Equipment_AxeU003
32|HorizonCrescent|Horizon Crescent|Icon_Equipment_AxeU014
32|ExponentialStrengthLeadJudge|Exponential Strength Lead Judge|Icon_Equipment_AxeU004
33|EternalIron|Eternal Iron|Icon_Equipment_AxeU008
33|ExponentialStrengthFriendOfTheResistance|Exponential Strength Friend of the Resistance|Icon_Equipment_AxeU009
33|EchoingSongMessengersToken|Echoing Song Messenger's Token|Icon_Equipment_AxeU005
34|PriceOfBlood|Price of Blood|Icon_Equipment_AxeU015
3|IronOfFate|Iron of Fate|Icon_Equipment_MaceU008
11|FaithfulStriker|Faithful Striker|Icon_Equipment_MaceU001
17|HeadwindBone|Headwind Bone|Icon_Equipment_MaceU002
19|PendulumOfTruth|Pendulum of Truth|Icon_Equipment_MaceU003
22|IronCladRoot|Iron Clad Root|Icon_Equipment_MaceU004
25|AlyssasExpansion|Alyssa's Expansion|Icon_Equipment_MaceU005
25|MountainRoot|Mountain Root|Icon_Equipment_MaceU019
27|CasthorsDarkness|Casthor's Darkness|Icon_Equipment_MaceU006
28|CaprisLegacy|Capri's Legacy|Icon_Equipment_MaceU009
30|DisruptPeaceFaithfulStriker|Disrupt Peace Faithful Striker|Icon_Equipment_MaceU001
31|SeedOfADormantLand|Seed of a Dormant Land|Icon_Equipment_MaceU010
31|StarFlower|Star Flower|Icon_Equipment_MaceU011
31|KarmaHeadwindBone|Karma Headwind Bone|Icon_Equipment_MaceU002
32|PulseOfSeverance|Pulse of Severance|Icon_Equipment_MaceU007
32|SurvivalInstinctsIronOfFate|Survival Instincts Iron of Fate|Icon_Equipment_MaceU008
32|DaydreamsEnd|Daydream's End|Icon_Equipment_MaceU013
32|AncientCatalystIronCladRoot|Ancient Catalyst Iron Clad Root|Icon_Equipment_MaceU004
33|ExpandingWord|Expanding Word|Icon_Equipment_MaceU012
33|StrengthReverencePendulumOfTruth|Strength Reverence Pendulum of Truth|Icon_Equipment_MaceU003
33|InfiniteStrengthAlyssasExpansion|Infinite Strength Alyssa's Expansion|Icon_Equipment_MaceU005
34|FrameOfLoneliness|Frame of Loneliness|Icon_Equipment_MaceU014
34|TranscendentMountainRoot|Transcendent Mountain Root|Icon_Equipment_MaceU019
4|JoyfulSunset|Joyful Sunset|Icon_Equipment_SceptreU008
13|EternalEmber|Eternal Ember|Icon_Equipment_SceptreU001
18|FateGatherer|Fate Gatherer|Icon_Equipment_SceptreU002
20|CaprisPrison|Capri's Prison|Icon_Equipment_SceptreU003
23|SpicasTenacity|Spica's Tenacity|Icon_Equipment_SceptreU004
25|HamalsHarvest|Hamal's Harvest|Icon_Equipment_SceptreU005
27|AlyssasResolution|Alyssa's Resolution|Icon_Equipment_SceptreU006
28|EchoingSkull|Echoing Skull|Icon_Equipment_SceptreU007
30|DesperateWillFateGatherer|Desperate Will Fate Gatherer|Icon_Equipment_SceptreU002
31|StaffOfAmbition|Staff of Ambition|Icon_Equipment_SceptreU009
31|DreamOfWave|Dream of Wave|Icon_Equipment_SceptreU010
31|BlazingSunEternalEmber|Blazing Sun Eternal Ember|Icon_Equipment_SceptreU001
32|CrimsonUnity|Crimson Unity|Icon_Equipment_SceptreU012
32|ExponentialStrengthJoyfulSunset|Exponential Strength Joyful Sunset|Icon_Equipment_SceptreU008
32|DisruptPeaceSpicasTenacity|Disrupt Peace Spica's Tenacity|Icon_Equipment_SceptreU004
33|AsteroidOfRuin|Asteroid of Ruin|Icon_Equipment_SceptreU014
33|DesperateWillCaprisPrison|Desperate Will Capri's Prison|Icon_Equipment_SceptreU003
33|VespersProof|Vesper's Proof|Icon_Equipment_SceptreU011
33|CauseConfusionHamalsHarvest|Cause Confusion Hamal's Harvest|Icon_Equipment_SceptreU005
34|BeaconOfSupport|Beacon of Support|Icon_Equipment_SceptreU012
34|AcubensPunishment|Acuben's Punishment|Icon_Equipment_SceptreU002
5|UnwitheringRose|Unwithering Rose|Icon_Equipment_WandU001
9|AcubensAcidRain|Acuben's Acid Rain|Icon_Equipment_WandU002
13|GoldenFlash|Golden Flash|Icon_Equipment_WandU003
16|HamalsGrowth|Hamal's Growth|Icon_Equipment_WandU004
18|TrueWindFlute|True Wind Flute|Icon_Equipment_WandU005
20|SephdarsPassion|Sephdar's Passion|Icon_Equipment_WandU006
22|RedJadeBud|Red Jade Bud|Icon_Equipment_WandU007
24|SproutOfPenance|Sprout of Penance|Icon_Equipment_WandU008
26|HarvestersPeg|Harvester's Peg|Icon_Equipment_WandU009
27|CaprisFlame|Capri's Flame|Icon_Equipment_WandU010
28|EnticingTuningFork|Enticing Tuning Fork|Icon_Equipment_WandU012
28|ReignOfConsecration|Reign of Consecration|Icon_Equipment_WandU011
30|LimpidCritic|Limpid Critic|Icon_Equipment_WandU013
30|DesperateWillAcubensAcidRain|Desperate Will Acuben's Acid Rain|Icon_Equipment_WandU002
31|IcicleThundercloud|Icicle Thundercloud|Icon_Equipment_WandU014
31|ElementalExplosionUnwitheringRose|Elemental Explosion Unwithering Rose|Icon_Equipment_WandU001
32|HornOfEnhancement|Horn of Enhancement|Icon_Equipment_WandU016
32|BoltOfJudgmentGoldenFlash|Bolt of Judgment Golden Flash|Icon_Equipment_WandU003
32|AcubensThorn|Acuben's Thorn|Icon_Equipment_WandU017
32|PiercingEyeTrueWindFlute|Piercing Eye True Wind Flute|Icon_Equipment_WandU005
33|TowerOfTranscendence|Tower of Transcendence|Icon_Equipment_WandU015
33|DesperateWillHamalsGrowth|Desperate Will Hamal's Growth|Icon_Equipment_WandU004
33|OathOfKnowledgeSephdarsPassion|Oath of Knowledge Sephdar's Passion|Icon_Equipment_WandU006
34|WickOfMortal|Wick of Mortal|Icon_Equipment_WandU018
34|ParadoxOfTheAbyss|Paradox of the Abyss|Icon_Equipment_WandU019
34|TranscendentCaprisFlame|Transcendent Capri's Flame|Icon_Equipment_WandU010
34|AquillasResonance|Aquilla's Resonance|Icon_Equipment_WandU020
34|TranscendentReignOfConsecration|Transcendent Reign of Consecration|Icon_Equipment_WandU011
35|AlyssasBlessing|Alyssa's Blessing|Icon_Equipment_WandU022
7|CloudPalpus|Cloud Palpus|Icon_Equipment_StaffU001
11|PortraitOfLightAndDarkness|Portrait of Light and Darkness|Icon_Equipment_StaffU008
11|VanishingNight|Vanishing Night|Icon_Equipment_StaffU019
15|DispersionIndex|Dispersion Index|Icon_Equipment_StaffU002
17|GlachisSecret|Glachi's Secret|Icon_Equipment_StaffU003
21|SpicasVirtue|Spica's Virtue|Icon_Equipment_StaffU004
24|SephdarsCoexistence|Sephdar's Coexistence|Icon_Equipment_StaffU005
27|SpicasWrath|Spica's Wrath|Icon_Equipment_StaffU006
28|TwitchingPrisoner|Twitching Prisoner|Icon_Equipment_StaffU009
28|DistortedTracker|Distorted Tracker|Icon_Equipment_StaffU010
30|WatchersStick|Watcher's Stick|Icon_Equipment_StaffU011
30|AbsoluteElementDispersionIndex|Absolute Element Dispersion Index|Icon_Equipment_StaffU002
31|MoonsOrbit|Moon's Orbit|Icon_Equipment_StaffU012
31|BoltOfJudgmentCloudPalpus|Bolt of Judgment Cloud Palpus|Icon_Equipment_StaffU001
32|ImageOfBrilliance|Image of Brilliance|Icon_Equipment_StaffU014
32|FrostWindGlachisSecret|Frost Wind Glachi's Secret|Icon_Equipment_StaffU003
32|InstructionsOfCreation|Instructions of Creation|Icon_Equipment_StaffU007
32|BlueGrailSpicasVirtue|Blue Grail Spica's Virtue|Icon_Equipment_StaffU004
33|SephdarsCompass|Sephdar's Compass|Icon_Equipment_StaffU013
33|AbsoluteElementPortraitOfLightAndDarkness|Absolute Element Portrait of Light and Darkness|Icon_Equipment_StaffU008
33|GoldenLawOfPerfection|Golden Law of Perfection|Icon_Equipment_StaffU014
33|NobleDestroyerSephdarsCoexistence|Noble Destroyer Sephdar's Coexistence|Icon_Equipment_StaffU005
34|CrescentMoonCandlestick|Crescent Moon Candlestick|Icon_Equipment_StaffU015
34|FocusOfTheAbyss|Focus of the Abyss|Icon_Equipment_StaffU016
34|AlissasAurora|Alissa's Aurora|Icon_Equipment_StaffU017
34|TranscendentSephdarsCoexistence|Transcendent Sephdar's Coexistence|Icon_Equipment_StaffU005
34|TranscendentPortraitOfLightAndDarkness|Transcendent Portrait of Light and Darkness|Icon_Equipment_StaffT008
34|TranscendentVanishingNight|Transcendent Vanishing Night|Icon_Equipment_StaffU019
5|GloriousGreatsword|Glorious Greatsword|Icon_Equipment_TwoHand_SwordU001
8|BrilliantCrescent|Brilliant Crescent|Icon_Equipment_Twohand_SwordU008
11|LordBloodBlade|Lord Blood Blade|Icon_Equipment_TwoHand_SwordU002
15|Battlebringer|Battlebringer|Icon_Equipment_TwoHand_SwordU003
19|LeosGale|Leo's Gale|Icon_Equipment_TwoHand_SwordU004
21|BorealsWill|Boreal's Will|Icon_Equipment_TwoHand_SwordU005
24|SpicasEnlightenment|Spica's Enlightenment|Icon_Equipment_TwoHand_SwordU006
27|Stras2-handedSword|Stra's 2-handed Sword|Icon_Equipment_TwoHand_SwordU007
28|RighteousTraitor|Righteous Traitor|Icon_Equipment_Twohand_SwordU010
28|BladeOfUnrequitedLove|Blade of Unrequited Love|Icon_Equipment_Twohand_SwordU009
30|LightDestroyer|Light Destroyer|Icon_Equipment_Twohand_SwordU011
30|BloodStrikeLordBloodBlade|Blood Strike Lord Blood Blade|Icon_Equipment_TwoHand_SwordU002
31|CasthorsDarkness2h|Casthor's Darkness|Icon_Equipment_TwoHand_SwordU012
31|ExponentialStrengthGloriousGreatsword|Exponential Strength Glorious Greatsword|Icon_Equipment_TwoHand_SwordU001
32|BreakerOfTheCycle|Breaker of the Cycle|Icon_Equipment_TwoHand_SwordU014
32|PiercingEyeBrilliantCrescent|Piercing Eye Brilliant Crescent|Icon_Equipment_Twohand_SwordU008
32|GlimmeringPoint|Glimmering Point|Icon_Equipment_TwoHand_SwordU013
32|InfiniteStrengthLeosGale|Infinite Strength Leo's Gale|Icon_Equipment_TwoHand_SwordU004
33|WillOfFire|Will of Fire|Icon_Equipment_TwoHand_SwordU015
33|DesperateWillBattlebringer|Desperate Will Battlebringer|Icon_Equipment_TwoHand_SwordU003
33|AncientCatalystBorealsWill|Ancient Catalyst Boreal's Will|Icon_Equipment_TwoHand_SwordU005
34|TheQueen|The Queen|Icon_Equipment_TwoHand_SwordU014
34|TranscendentRighteousTraitor|Transcendent Righteous Traitor|Icon_Equipment_Twohand_SwordU010
35|TeneosCursed2handedSword|Teneo's Cursed 2-handed Sword|Icon_Equipment_Twohand_SwordU019
3|MarrowExtractor|Marrow Extractor|Icon_Equipment_TwoHand_AxeU008
9|ExecutorsEmbrace|Executor's Embrace|Icon_Equipment_TwoHand_AxeU001
13|SwoopingWings|Swooping Wings|Icon_Equipment_TwoHand_AxeU002
16|MirasetisThirst|Miraseti's Thirst|Icon_Equipment_TwoHand_AxeU003
20|VespersEnd|Vesper's End|Icon_Equipment_TwoHand_AxeU004
23|BorealsEarthquake|Boreal's Earthquake|Icon_Equipment_TwoHand_AxeU005
26|BorealsEarth|Boreal's Earth|Icon_Equipment_TwoHand_AxeU006
28|UnbreakableObjection|Unbreakable Objection|Icon_Equipment_TwoHand_AxeU010
30|CryOfSacrifice|Cry of Sacrifice|Icon_Equipment_TwoHand_AxeU011
30|StrengthReverenceSwoopingWings|Strength Reverence Swooping Wings|Icon_Equipment_TwoHand_AxeU002
31|FaceOfFlamingDestruction|Face of Flaming Destruction|Icon_Equipment_TwoHand_AxeU012
31|DesperateWillExecutorsEmbrace|Desperate Will Executor's Embrace|Icon_Equipment_TwoHand_AxeU001
32|CrescentAndDusk|Crescent and Dusk|Icon_Equipment_Twohand_AxeU007
32|StrengthReverenceMirasetisThirst|Strength Reverence Miraseti's Thirst|Icon_Equipment_TwoHand_AxeU003
32|DesperateWillVespersEnd|Desperate Will Vesper's End|Icon_Equipment_TwoHand_AxeU004
33|StrengthReverenceMarrowExtractor|Strength Reverence Marrow Extractor|Icon_Equipment_TwoHand_AxeU008
33|BloodOfTheGuillotine|Blood of the Guillotine|Icon_Equipment_TwoHand_AxeU009
33|BloodStrikeBorealsEarthquake|Blood Strike Boreal's Earthquake|Icon_Equipment_TwoHand_AxeU005
34|DancingPatagium|Dancing Patagium|Icon_Equipment_TwoHand_AxeU010
34|CasthorsVision|Casthor's Vision|Icon_Equipment_TwoHand_AxeU013
7|ProphetsBatteringRam|Prophet's Battering Ram|Icon_Equipment_TwoHand_MaceU001
11|DisobedientMolar|Disobedient Molar|Icon_Equipment_TwoHand_MaceU002
14|MaceOfConfession|Mace of Confession|Icon_Equipment_TwoHand_MaceU008
17|StoneAnvil|Stone Anvil|Icon_Equipment_TwoHand_MaceU003
21|ArbitersWedge|Arbiter's Wedge|Icon_Equipment_TwoHand_MaceU004
24|SephdarsMaturity|Sephdar's Maturity|Icon_Equipment_TwoHand_MaceU005
27|AquillasExtermination|Aquilla's Extermination|Icon_Equipment_TwoHand_MaceU006
28|GiantsGoldPendulum|Giant's Gold Pendulum|Icon_Equipment_TwoHand_MaceU010
30|GoldenSunset|Golden Sunset|Icon_Equipment_TwoHand_MaceU007
30|RiverOfLifeDisobedientMolar|River of Life Disobedient Molar|Icon_Equipment_TwoHand_MaceU002
31|ForsakenGlacier|Forsaken Glacier|Icon_Equipment_TwoHand_MaceU009
31|BloodStrikeProphetsBatteringRam|Blood Strike Prophet's Battering Ram|Icon_Equipment_TwoHand_MaceU001
32|OrbOfRestraint|Orb of Restraint|Icon_Equipment_TwoHand_MaceU012
32|RiverOfLifeStoneAnvil|River of Life Stone Anvil|Icon_Equipment_TwoHand_MaceU003
32|CenterOfRedEarth|Center of Red Earth|Icon_Equipment_TwoHand_MaceU011
32|CriticalBlowArbitersWedge|Critical Blow Arbiter's Wedge|Icon_Equipment_TwoHand_MaceU004
33|SternTempering|Stern Tempering|Icon_Equipment_TwoHand_MaceU018
33|RiverOfLifeMaceOfConfession|River of Life Mace of Confession|Icon_Equipment_TwoHand_MaceU008
33|AncientCatalystSephdarsMaturity|Ancient Catalyst Sephdar's Maturity|Icon_Equipment_TwoHand_MaceU005
34|SpikeOfEvilAbolishment|Spike of Evil Abolishment|Icon_Equipment_TwoHand_MaceU012
5|SeaBreezeRuler|Sea Breeze Ruler|Icon_Equipment_BowU001
9|ZephyrFang|Zephyr Fang|Icon_Equipment_BowU002
11|DirectRay|Direct Ray|Icon_Equipment_BowU012
13|ProblemSolversBowstring|Problem Solver's Bowstring|Icon_Equipment_BowU003
16|ThirstyWillow|Thirsty Willow|Icon_Equipment_BowU004
18|ArbalistsStrength|Arbalist's Strength|Icon_Equipment_BowU005
20|FirmRevelation|Firm Revelation|Icon_Equipment_BowU006
22|SunsetBrush|Sunset Brush|Icon_Equipment_BowU007
24|TipansLongBow|Tipan's Long Bow|Icon_Equipment_BowU008
26|SephdarsProsperity|Sephdar's Prosperity|Icon_Equipment_BowU009
27|LeosCycle|Leo's Cycle|Icon_Equipment_BowU010
28|ThunderboltString|Thunderbolt String|Icon_Equipment_BowU013
28|BandOfSuffocation|Band of Suffocation|Icon_Equipment_BowU011
30|ChasingTrajectory|Chasing Trajectory|Icon_Equipment_BowU014
30|BloodStrikeZephyrFang|Blood Strike Zephyr Fang|Icon_Equipment_BowU002
31|BlizzardOfLight|Blizzard of Light|Icon_Equipment_BowU015
31|StrengthReverenceSeaBreezeRuler|Strength Reverence Sea Breeze Ruler|Icon_Equipment_BowU001
32|SkysClarity|Sky's Clarity|Icon_Equipment_BowU017
32|DesperateWillProblemSolversBowstring|Desperate Will Problem Solver's Bowstring|Icon_Equipment_BowU003
32|FlickeringHeat|Flickering Heat|Icon_Equipment_BowU018
32|StrengthReverenceThirstyWillow|Strength Reverence Thirsty Willow|Icon_Equipment_BowU004
33|CornelianBranch|Cornelian Branch|Icon_Equipment_BowU016
33|CriticalBlowDirectRay|Critical Blow Direct Ray|Icon_Equipment_BowU012
33|CriticalBlowFirmRevelation|Critical Blow Firm Revelation|Icon_Equipment_BowU006
34|SeepingRayOfLight|Seeping Ray of Light|Icon_Equipment_BowU019
34|TranscendentTipansLongBow|Transcendent Tipan's Long Bow|Icon_Equipment_BowU008
3|VibrantCommandment|Vibrant Commandment|Icon_Equipment_MagicbowU007
7|NightHeavenGuide|Night Heaven Guide|Icon_Equipment_MagicBowU001
11|HeartlessNorthWind|Heartless North Wind|Icon_Equipment_MagicBowU002
15|NivissBreath|Nivis's Breath|Icon_Equipment_MagicBowU003
19|MirasetisCrimsonWave|Miraseti's Crimson Wave|Icon_Equipment_MagicBowU004
23|AcubensDarkCloud|Acuben's Dark Cloud|Icon_Equipment_MagicBowU005
26|HamalsSunlight|Hamal's Sunlight|Icon_Equipment_MagicBowU006
28|BowOfSplendor|Bow of Splendor|Icon_Equipment_MagicBowU009
30|EmbracingFang|Embracing Fang|Icon_Equipment_MagicBowU010
30|MindReaperHeartlessNorthWind|Mind Reaper Heartless North Wind|Icon_Equipment_MagicBowU002
31|ImmortalScapular|Immortal Scapular|Icon_Equipment_MagicBowU011
31|FlamingMeteorNightHeavenGuide|Flaming Meteor Night Heaven Guide|Icon_Equipment_MagicBowU001
32|TideHorizon|Tide Horizon|Icon_Equipment_MagicBowU008
32|WheelOfFateVibrantCommandment|Wheel of Fate Vibrant Commandment|Icon_Equipment_MagicbowU007
33|LyreOfMotherNature|Lyre of Mother Nature|Icon_Equipment_MagicBowU012
33|CommandersUnityMirasetisCrimsonWave|Commander's Unity Miraseti's Crimson Wave|Icon_Equipment_MagicBowU004
34|EmeraldGreenBow|Emerald Green Bow|Icon_Equipment_MagicBowU013
34|TranscendentNivissBreath|Transcendent Nivis's Breath|Icon_Equipment_MagicBowU003
34|TranscendentBowOfSplendor|Transcendent Bow of Splendor|Icon_Equipment_MagicBowU009
7|HolyGrailOfVictory|Holy Grail of Victory|Icon_Equipment_QuiverU001
11|CallOfRedemption|Call of Redemption|Icon_Equipment_QuiverU002
15|SunsetsEye|Sunset's Eye|Icon_Equipment_QuiverU003
17|HorizonOfCreation|Horizon of Creation|Icon_Equipment_QuiverU004
20|AquillasSnowstorm|Aquilla's Snowstorm|Icon_Equipment_QuiverU005
22|CasthorsBeam|Casthor's Beam|Icon_Equipment_QuiverU006
22|PrimevalSynchronization|Primeval Synchronization|Icon_Equipment_QuiverU016
24|CaprisBrazier|Capri's Brazier|Icon_Equipment_QuiverU007
27|MirasetisRipCurrent|Miraseti's Rip Current|Icon_Equipment_QuiverU008
28|PredatorsTongue|Predator's Tongue|Icon_Equipment_QuiverU009
30|PlateOfAddendum|Plate of Addendum|Icon_Equipment_QuiverU010
30|LifeLustHolyGrailOfVictory|Life Lust Holy Grail of Victory|Icon_Equipment_QuiverU001
31|TwilightLuster|Twilight Luster|Icon_Equipment_QuiverU011
31|HeartReaperCallOfRedemption|Heart Reaper Call of Redemption|Icon_Equipment_QuiverU002
32|TriangularPromise|Triangular Promise|Icon_Equipment_QuiverU012
32|CauseConfusionSunsetsEye|Cause Confusion Sunset's Eye|Icon_Equipment_QuiverU003
32|FrostWindAquillasSnowstorm|Frost Wind Aquilla's Snowstorm|Icon_Equipment_QuiverU005
33|BreathOfTheMountain|Breath of the Mountain|Icon_Equipment_QuiverU013
33|RootedPunishmentHorizonOfCreation|Rooted Punishment Horizon of Creation|Icon_Equipment_QuiverU004
33|ColdFront|Cold Front|Icon_Equipment_QuiverU014
33|PiercingThornCasthorsBeam|Piercing Thorn Casthor's Beam|Icon_Equipment_QuiverU006
34|TomorrowsRay|Tomorrow's Ray|Icon_Equipment_QuiverU015
34|TranscendentPredatorsTongue|Transcendent Predator's Tongue|Icon_Equipment_QuiverU009
34|TranscendentPlateOfAddendum|Transcendent Plate of Addendum|Icon_Equipment_QuiverU010
34|AquillasFlutters|Aquilla's Flutters|Icon_Equipment_QuiverU006
34|LeosEnd|Leo's End|Icon_Equipment_QuiverU017
23|VerdantGaze|Verdant Gaze|Icon_Equipment_BowgunU001
23|UnchangingLight|Unchanging Light|Icon_Equipment_BowgunU009
27|RighteousDuty|Righteous Duty|Icon_Equipment_BowgunU002
31|ArcOfPursuit|Arc of Pursuit|Icon_Equipment_BowgunU003
32|TipansBowgun|Tipan's Bowgun|Icon_Equipment_BowgunU005
32|InfiniteStrengthVerdantGaze|Infinite Strength Verdant Gaze|Icon_Equipment_BowgunU001
33|SenseOfSympathy|Sense of Sympathy|Icon_Equipment_BowgunU004
34|ViolentDeath|Violent Death|Icon_Equipment_BowgunU006
34|TranscendentUnchangingLight|Transcendent Unchanging Light|Icon_Equipment_BowgunU009
34|AcubensCurse|Acuben's Curse|Icon_Equipment_BowgunU010
27|InnerChill|Inner Chill|Icon_Equipment_MagazineU004
