# type|slug|name|icon  (source: https://undecember.thein.ru/en/runes/)
Skill|PoisonExplosion|Poison Explosion|Icon_Skill_PoisonBurst_01
Skill|Counterattack|Counterattack|Icon_Skill_CounterStrike_01
Skill|ImprovedSenses|Improved Senses|Icon_Skill_IncreaseSence_01
Skill|EnchantedSentry|Enchanted Sentry|Icon_Skill_AlchemyCrossbow_01
Skill|FreezeArrow|Freeze Arrow|Icon_Skill_CoolingArrow_01
Skill|ScorchingArrow|Scorching Arrow|Icon_Skill_BurningArrow_01
Skill|LightningArrow|Lightning Arrow|Icon_Skill_ArcArrow_01
Skill|ShockwaveTrap|Shockwave Trap|Icon_Skill_EarthquakeTrap_01
Skill|FireFissureTrap|Fire Fissure Trap|Icon_Skill_FlameCrackTrap_01
Skill|FrostTrap|Frost Trap|Icon_Skill_ChillzoneTrap_01
Skill|ElectricOrbTrap|Electric Orb Trap|Icon_Skill_ElectricsphereTrap_01
Skill|PoisonGasTrap|Poison Gas Trap|Icon_Skill_PoisonGasTrap_01
Skill|ActivateTrap|Activate Trap|Icon_Skill_DetonateTrap_01
Skill|ElectricShellShot|Electric Shell Shot|Icon_Skill_LightningBulletShot_01
Skill|AerialThrow|Aerial Throw|Icon_Skill_MovingFire_01
Skill|TotalBarrage|Total Barrage|Icon_Skill_BatchStrafe_01
Skill|InstantAcceleration|Instant Acceleration|Icon_Skill_ReloadMoving_01
Skill|WhirlwindBarrage|Whirlwind Barrage|Icon_Skill_WhirlStrafe_01
Skill|OgreArrow|Ogre Arrow|Icon_Skill_GhostArrow_01
Skill|ShockwaveSentry|Shockwave Sentry|Icon_Skill_AutoCrossbow_01
Skill|PenetratingSlash|Penetrating Slash|Icon_Skill_FlickerSlash_01
Skill|PoisonRainOfArrows|Poison Rain of Arrows|Icon_Skill_AbyssalArrow_01
Skill|AttackImpulse|Attack Impulse|Icon_Skill_Impulse_01
Skill|SealOfAccuracy|Seal of Accuracy|Icon_Skill_AuraOfAccuracy_01
Skill|SealOfDodge|Seal of Dodge|Icon_Skill_AuraOfEvasion_01
Skill|SealOfCriticalChance|Seal of Critical Chance|Icon_Skill_AuraOfCritProc_01
Skill|SentryExpert|Sentry Expert|Icon_Skill_CrossbowMaster_01
Skill|FireOrbTrap|Fire Orb Trap|Icon_Skill_FireballTrap_01
Skill|ChillAreaTrap|Chill Area Trap|Icon_Skill_ColdwaterfallTrap_01
Skill|WindBlade|Wind Blade|Icon_Skill_BladeWind_01
Skill|ThrowExplosive|Throw Explosive|Icon_Skill_GrenadeThrow_01
Skill|FirebombShot|Firebomb Shot|Icon_Skill_FireBulletShot_01
Skill|TrickShot|Trick Shot|Icon_Skill_Trickshot_01
Skill|ShockwaveArrow|Shockwave Arrow|Icon_Skill_PuntureShot_01
Skill|VeilOfProtection|Veil of Protection|Icon_Skill_MeleeGuard_01
Skill|SealOfChaosResist|Seal of Chaos Resist|Icon_Skill_AuraOfChaosResist_01
Skill|IceCrystalArrow|Ice Crystal Arrow|Icon_Skill_IceCrystalArrow_01
Skill|SummonAbyssling|Summon Abyssling|Icon_Skill_SummonImp_01
Skill|GatherMinions|Gather Minions|Icon_Skill_SummonRecall_01
Skill|FireBall|Fire Ball|Icon_Skill_FireBall_01
Skill|FrostBall|Frost Ball|Icon_Skill_IceBall_01
Skill|FrostShock|Frost Shock|Icon_Skill_FrostShock_01
Skill|PoisonOrb|Poison Orb|Icon_Skill_PoisonBead_01
Skill|LightningTyphoon|Lightning Typhoon|Icon_Skill_LightningStorm_01
Skill|FrostThorn|Frost Thorn|Icon_Skill_IceSpear_01
Skill|Flamethrower|Flamethrower|Icon_Skill_FireThrower_01
Skill|ChargeRelease|Charge Release|Icon_Skill_ElectricDisChage_01
Skill|ToxicFlame|Toxic Flame|Icon_Skill_ToxicSoul_01
Skill|SummonJavelinAbyssling|Summon Javelin Abyssling|Icon_Skill_MageImp_01
Skill|UniteCrowdEnrage|Unite Crowd (Enrage)|Icon_Skill_CrowdBind_01
Skill|SummonBurstingRuneKnight|Summon Bursting Rune Knight|Icon_Skill_FireGolem_01
Skill|SacredDevotion|Sacred Devotion|Icon_Skill_LifeDevotion_01
Skill|ColdArmor|Cold Armor|Icon_Skill_IceShield_01
Skill|LightningChain|Lightning Chain|Icon_Skill_Chainlighting_01
Skill|Meteor|Meteor|Icon_Skill_Meteor_01
Skill|PoisonArea|Poison Area|Icon_Skill_PoisonFlare_01
Skill|PlagueSpike|Plague Spike|Icon_Skill_PoisonBone_01
Skill|FrostBomb|Frost Bomb|Icon_Skill_IceBomb_01
Skill|Thunderbolt|Thunderbolt|Icon_Skill_ThunderStrike_01
Skill|SummonFireOrbAbyssling|Summon Fire Orb Abyssling|Icon_Skill_FireImp01_01
Skill|SummonPoisonArrowAbyssling|Summon Poison Arrow Abyssling|Icon_Skill_PoisonImp01_01
Skill|SummonLightningArrowAbyssling|Summon Lightning Arrow Abyssling|Icon_Skill_LightningImp01_01
Skill|SummonSnowOrbAbyssling|Summon Snow Orb Abyssling|Icon_Skill_ColdImp01_01
Skill|MarkOfFocus|Mark of Focus|Icon_Skill_ForceAttack_01
Skill|SiphonLife|Siphon Life|Icon_Skill_SkinHardening_01
Skill|SummonArcticRuneKnight|Summon Arctic Rune Knight|Icon_Skill_IceGolem_01
Skill|SummonLightningRuneKnight|Summon Lightning Rune Knight|Icon_Skill_LightningGolem_01
Skill|ReleaseElement|Release Element|Icon_Skill_ElementalOutput_01
Skill|IntensifyPain|Intensify Pain|Icon_Skill_Painful_01
Skill|ColdOutburst|Cold Outburst|Icon_Skill_IceLance
Skill|WeakenTotem|Weaken Totem|Icon_Skill_ElementalWeak
Skill|TremorTotem|Tremor Totem|Icon_Skill_Tremor
Skill|ProtectionTotem|Protection Totem|Icon_Skill_Healing
Skill|LifeTotem|Life Totem|Icon_Skill_Life
Skill|MistTotem|Mist Totem|Icon_Skill_Fog
Skill|ElectromagneticField|Electromagnetic Field|Icon_Skill_ElectromagneticField
Skill|Teleport|Teleport|Icon_Skill_Teleport_01
Skill|SummonDeadlyPoisonRuneKnight|Summon Deadly Poison Rune Knight|Icon_Skill_PoisonGolem_01
Skill|AgileMovement|Agile Movement|Icon_Skill_ShadowStep_01
Skill|Pantheon|Pantheon|Icon_Skill_Mystery_01
Skill|DarkJudgment|Dark Judgment|Icon_Skill_JudgmentOfDark_01
Skill|PersistentStrike|Persistent Strike|Icon_Skill_Persistenceofblow_01
Skill|HazyMelodyLowToneHighTone|Hazy Melody (Low Tone, High Tone)|Icon_Skill_Fusion_01
Skill|CondenseFire|Condense Fire|Icon_Skill_FlameCondensation_01
Skill|FireTorrent|Fire Torrent|Icon_Skill_PhoenixAttack_01
Skill|ElectricBall|Electric Ball|Icon_Skill_LightningBall_01
Skill|SacredLight|Sacred Light|Icon_Skill_Penitence_01
Skill|SummonWrathfulRuneKnight|Summon Wrathful Rune Knight|Icon_Skill_RageGolem_01
Skill|WeakenDMGTotem|Weaken DMG Totem|Icon_Skill_LesEleDmgTotem
Skill|SealOfCondensedElements|Seal of Condensed Elements|Icon_Skill_AuraOfElemental_01
Skill|SealOfElementResist|Seal of Element Resist|Icon_Skill_AuraOfElementalResist_01
Skill|SummonTwistedAbyssling|Summon Twisted Abyssling|Icon_Skill_TwistedImp
Skill|JudgmentOfLight|Judgment of Light|Icon_Skill_Judgmentoflight
Skill|AbsorbEnergy|Absorb Energy|Icon_Skill_Energyabsorption
Skill|LightningWave|Lightning Wave|Icon_Skill_LightningWave
Skill|FlamesOfDeath|Flames of Death|Icon_Skill_FlamesofHell_01
Skill|SealOfPersistence|Seal of Persistence|Icon_Skill_AuraofCondensedPersistence_01
Skill|WingsOfIgnition|Wings of Ignition|Icon_Skill_FireBird_01
Skill|BlackPlague|Black Plague|Icon_Skill_BlackDeath_01
Skill|Blizzard|Blizzard|Icon_Skill_ColdWave_01
Skill|WindTotem|Wind Totem|Icon_Skill_Wind
Skill|SealOfElementalDomain|Seal of Elemental Domain|Icon_Skill_AuraOfReleaseEleDmg_01
Skill|SealOfPain|Seal of Pain|Icon_Skill_AuraOfPain_01
Skill|VisionShift|Vision Shift|Icon_Skill_VisionMove_01
Link|Knockback|Knockback|Icon_LinkSkill_KnockBack_01
Link|AdditionalPhysicalDMG|Additional Physical DMG|Icon_LinkSkill_PhyDmg_01
Link|AdditionalFireDMG|Additional Fire DMG|Icon_LinkSkill_FireDmg_01
Link|EndlessPain|Endless Pain|Icon_LinkSkill_PersistentPain_01
Link|Bloodthirst|Bloodthirst|Icon_LinkSkill_BloodThirst_01
Link|ArmorPenetration|Armor Penetration|Icon_LinkSkill_IntensiveBlow_01
Link|Ignite|Ignite|Icon_LinkSkill_ChainIgnite_01
Link|BurningFlame|Burning Flame|Icon_LinkSkill_BurningFlame_01
Link|AreaEffect|Area Effect|Icon_LinkSkill_AOE_01
Link|ConcentratedAreaDMG|Concentrated Area DMG|Icon_LinkSkill_AOEDmg_01
Link|DecreaseDuration|Decrease Duration|Icon_LinkSkill_RedDurationTime_01
Link|FirePenetration|Fire Penetration|Icon_LinkSkill_FirePenRate_01
Link|Confidence|Confidence|Icon_LinkSkill_Confidence_01
Link|Regeneration|Regeneration|Icon_LinkSkill_Destroyer_01
Link|Tenacity|Tenacity|Icon_LinkSkill_Strong_01
Link|SpellActivationOnAttackHit|Spell Activation on Attack Hit|Icon_LinkSkill_OnHitSpell_01
Link|ConvertFireDMG|Convert Fire DMG|Icon_LinkSkill_DmgToFireDmg_01
Link|CenterOfGravity|Center of Gravity|Icon_LinkSkill_Oppressive_01
Link|Overpower|Overpower|Icon_LinkSkill_OverPower_01
Link|HushedShout|Hushed Shout|Icon_LinkSkill_WarcryA_01
Link|Savagery|Savagery|Icon_LinkSkill_AddWpnRng_01
Link|Disarm|Disarm|Icon_LinkSkill_Disarm_01
Link|Hunger|Hunger|Icon_LinkSkill_HPGainOnHit_01
Link|LingeringShout|Lingering Shout|Icon_LinkSkill_WarcryB_01
Link|ImprovedShout|Improved Shout|Icon_LinkSkill_WarcryC_01
Link|AttackDMGIncrease|Attack DMG Increase|Icon_LinkSkill_AccelerationAttack_01
Link|AreaTotem|Area Totem|Icon_LinkSkill_TotemAOE
Link|Unity|Unity|Icon_LinkSkill_GangFight
Link|TrapMaster|Trap Master|Icon_LinkSkill_TrapRecovery_01
Link|TrapAreaEffect|Trap Area Effect|Icon_LinkSkill_TrapAOE_01
Link|IronWill|Iron Will|Icon_LinkSkill_Firmwill
Link|Break|Break|Icon_LinkSkill_TransferINT_01
Link|ExpandVision|Expand Vision|Icon_LinkSkill_SpellPower_01
Link|AbsorbMinionHP|Absorb Minion HP|Icon_LinkSkill_SummonedLifeSteal_01
Link|PredatorsRoar|Predator's Roar|Icon_LinkSkill_BeastRoar_01
Link|ExtractEarthEnergy|Extract Earth Energy|Icon_LinkSkill_ExtractEnergyEarth_01
Link|ExtractFireEnergy|Extract Fire Energy|Icon_LinkSkill_ExtractEnergyFire_01
Link|MeleeDMGAmplification|Melee DMG Amplification|Icon_LinkSkill_MeleeDmg_01
Link|PreemptiveStrike|Preemptive Strike|Icon_LinkSkill_PreemptiveAttack_01
Link|Strike|Strike|Icon_LinkSkill_AllIncDmg_01
Link|BuffActivationWhenHit|Buff Activation when Hit|Icon_LinkSkill_OnBeShotBuff_01
Link|IgnitionExplosion|Ignition Explosion|Icon_LinkSkill_FireTorrent_01
Link|BuffActivationUponCrowdControl|Buff Activation upon Crowd Control|Icon_LinkSkill_OnCCSpell_01
Link|ShoutOfPower|Shout of Power|Icon_LinkSkill_WarcryD_01
Link|IncreaseGoldGainChance|Increase Gold Gain Chance|Icon_LinkSkill_GoldPer_01
Link|IncreaseGoldGainAmount|Increase Gold Gain Amount|Icon_LinkSkill_GoldRat_01
Link|IncreaseKillEXP|Increase Kill EXP|Icon_LinkSkill_ExpRat_01
Link|GripStrength|Grip Strength|Icon_LinkSkill_PowerUp_01
Link|OffsetCounterattack|Offset Counterattack|Icon_LinkSkill_CounterattackOffset
Link|VitalityRecovery|Vitality Recovery|Icon_LinkSkill_Refreshment
Link|FocusedDefense|Focused Defense|Icon_LinkSkill_ConcentratedDefense
Link|OverflowingStrength|Overflowing Strength|Icon_LinkSkill_OverflowingPower
Link|EnhanceSealRange|Enhance Seal Range|Icon_LinkSkill_ReinforceAura_01
Link|KillingMachine|Killing Machine|Icon_LinkSkill_Slaughter
Link|FightingSpirit|Fighting Spirit|Icon_LinkSkill_Extricate_01
Link|Momentum|Momentum|Icon_LinkSkill_BodySlam_01
Link|SpotWeakness|Spot Weakness|Icon_LinkSkill_SpottingWeakness_01
Link|Enrage|Enrage|Icon_LinkSkill_Berserker_01
Link|ConcentratedWeaponRangeDMG|Concentrated Weapon Range DMG|Icon_LinkSkill_FocusOnePoint_01
Link|SoulPrayer|Soul Prayer|Icon_LinkSkill_SpiritualPrayer_01
Link|LowerArmor|Lower Armor|Icon_LinkSkill_DecreaseArmour_01
Link|FocusedStrike|Focused Strike|Icon_LinkSkill_ConcentratedBlow
Link|ImprovedTechnique|Improved Technique|Icon_LinkSkill_RuneLevelUp_01
Link|GrandApproach|Grand Approach|Icon_LinkSkill_CloseCombat_01
Link|NobleSacrifice|Noble Sacrifice|Icon_LinkSkill_NobleSacifice_01
Link|ConvertPhysicalDamage|Convert Physical Damage|Icon_LinkSkill_ChangeDmgAttributeToPhysical_01
Link|WarriorsShadow|Warrior's Shadow|Icon_LinkSkill_AncientVision_01
Link|QuickAttack|Quick Attack|Icon_LinkSkill_FaseAttack_01
Link|FindWeakness|Find Weakness|Icon_LinkSkill_CritProc_01
Link|AdditionalPoisonDMG|Additional Poison DMG|Icon_LinkSkill_PoisonDmg_01
Link|Multishot|Multishot|Icon_LinkSkill_AddProjcount_01
Link|Slaughter|Slaughter|Icon_LinkSkill_BloodyWork_01
Link|IncreaseDuration|Increase Duration|Icon_LinkSkill_IncDurationTime_01
Link|Piercing|Piercing|Icon_LinkSkill_ProjPenCount_01
Link|PoisonPenetration|Poison Penetration|Icon_LinkSkill_PoisonPenRate_01
Link|ProjectileAcceleration|Projectile Acceleration|Icon_LinkSkill_AddProjVelocity_01
Link|Precision|Precision|Icon_LinkSkill_AddAccuracy_01
Link|ProjectileDeceleration|Projectile Deceleration|Icon_LinkSkill_SlowFire_01
Link|SplitProjectile|Split Projectile|Icon_LinkSkill_ProjDibision_01
Link|FlowingPain|Flowing Pain|Icon_LinkSkill_FlowPain_01
Link|EliteSlayer|Elite Slayer|Icon_LinkSkill_EliteSlayer_01
Link|BlindAid|Blind Aid|Icon_LinkSkill_ReinforceBlind_01
Link|DeadlyPoison|Deadly Poison|Icon_LinkSkill_DeadlyPoison_01
Link|ConvertPoisonDMG|Convert Poison DMG|Icon_LinkSkill_DmgToPoisonDmg_01
Link|CloseRangeShot|Close Range Shot|Icon_LinkSkill_MeleeShot_01
Link|Aim|Aim|Icon_LinkSkill_SharpShooter_01
Link|ChainImpact|Chain Impact|Icon_LinkSkill_PersistentPursuit_01
Link|PierceWound|Pierce Wound|Icon_LinkSkill_ContinuousWound_01
Link|PreciseShot|Precise Shot|Icon_LinkSkill_LongShot_01
Link|LifeImbuedSentry|Life Imbued Sentry|Icon_LinkSkill_CrossBowA_01
Link|PreciseSentry|Precise Sentry|Icon_LinkSkill_CrossBowB_01
Link|SturdySentry|Sturdy Sentry|Icon_LinkSkill_CrossBowC_01
Link|ParallelMultiTrap|Parallel Multi Trap|Icon_LinkSkill_TrapSeries_01
Link|RandomMultiTrap|Random Multi Trap|Icon_LinkSkill_TrapParallel_01
Link|QuickTrapInstallation|Quick Trap Installation|Icon_LinkSkill_QuickTrap_01
Link|IncreaseTrapInstallDistance|Increased Trap Install Distance|Icon_LinkSkill_TrapThrow_01
Link|TrapProjectileMultishot|Trap Projectile Multishot|Icon_LinkSkill_MultiTrap_01
Link|HeatEfficiency|Heat Efficiency|Icon_LinkSkill_Overload_01
Link|HeatCycle|Heat Cycle|Icon_LinkSkill_MingledHeat_01
Link|Trapper|Trapper|Icon_LinkSkill_HunterTrap_01
Link|DestructiveInstinct|Destructive Instinct|Icon_LinkSkill_DestructiveInstinct_01
Link|WindingWind|Winding Wind|Icon_LinkSkill_TailWind_01
Link|ExtractPoisonEnergy|Extract Poison Energy|Icon_LinkSkill_ExtractEnergyPoison_01
Link|MultiSentry|Multi Sentry|Icon_LinkSkill_CrossBowD_01
Link|Focus|Focus|Icon_LinkSkill_OnHitIncSpd_01
Link|SpellActivationUponEnemyKill|Spell Activation upon Enemy Kill|Icon_LinkSkill_OnKillSpell_01
Link|ParallelMultishot|Parallel Multishot|Icon_LinkSkill_ProjectileParallel_01
Link|IncreaseItemDropRarity|Increase Item Drop Rarity|Icon_LinkSkill_ItemDropPer_01
Link|IncreaseSkillRuneDropChance|Increase Skill Rune Drop Chance|Icon_LinkSkill_ActSkillPer_01
Link|IncreaseLinkRuneDropChance|Increase Link Rune Drop Chance|Icon_LinkSkill_LinkSkillPer_01
Link|EnhanceEffect|Enhance Effect|Icon_LinkSkill_EffectBoost_01
Link|AmplifyPhysicalProjectileDMG|Amplify Physical Projectile DMG|Icon_LinkSkill_GuardShot_01
Link|OpportunisticStrike|Opportunistic Strike|Icon_LinkSkill_TakeaChance_01
Link|QuickShout|Quick Shout|Icon_LinkSkill_QuickWarcry
Link|Versatility|Versatility|Icon_LinkSkill_Universal
Link|QuickSentryInstallation|Quick Sentry Installation|Icon_LinkSkill_CrossbowQuickInstall
Link|QuickTotemInstallation|Quick Totem Installation|Icon_LinkSkill_TotemQuickInstall
Link|AmplifyTrapDMG|Amplify Trap DMG|Icon_LinkSkill_IncTrapDmg_01
Link|LastingTrap|Lasting Trap|Icon_LinkSkill_TrapMor_01
Link|Outlaw|Outlaw|Icon_LinkSkill_LethalHeat_01
Link|MaximizedDMGIncrease|Maximized DMG Increase|Icon_LinkSkill_MaximizationDamage_01
Link|Cut|Cut|Icon_LinkSkill_MeleeSpdDecr_01
Link|DMGAcceleration|DMG Acceleration|Icon_LinkSkill_BuffAcceleration_01
Link|IncreaseMaximizedDMGChance|Increase Maximized DMG Chance|Icon_LinkSkill_Hyperbleed_01
Link|ShadowArcher|Shadow Archer|Icon_LinkSkill_ShadowArcher_01
Link|AdditionalLightningDMG|Additional Lightning DMG|Icon_LinkSkill_LightningDmg_01
Link|AdditionalColdDMG|Additional Cold DMG|Icon_LinkSkill_ColdDmg_01
Link|QuickCast|Quick Cast|Icon_LinkSkill_FastCast_01
Link|LingeringChill|Lingering Chill|Icon_LinkSkill_FrostyChill_01
Link|UseCount|Use Count|Icon_LinkSkill_SkillUseCount_01
Link|FrostExplosion|Frost Explosion|Icon_LinkSkill_FrostExplosion_01
Link|ColdPenetration|Cold Penetration|Icon_LinkSkill_ColdPenRate_01
Link|LightningPenetration|Lightning Penetration|Icon_LinkSkill_LightningPenRate_01
Link|TimeAcceleration|Time Acceleration|Icon_LinkSkill_CooltimeDecr_01
Link|ChannelingEnhancement|Channeling Enhancement|Icon_LinkSkill_ReinforceChanneling_01
Link|MinionSpeed|Minion Speed|Icon_LinkSkill_MinionIncSpd_01
Link|MinionHP|Minion HP|Icon_LinkSkill_MinionIncHP_01
Link|MinionBodyShield|Minion Body Shield|Icon_LinkSkill_MinionBlock_01
Link|ContinuousShock|Continuous Shock|Icon_LinkSkill_ContinuityShock_01
Link|Conductor|Conductor|Icon_LinkSkill_Conductor_01
Link|Persistence|Persistence|Icon_LinkSkill_Tenacity_01
Link|SpellActivationOnSpellHit|Spell Activation on Spell Hit|Icon_LinkSkill_OnCriHitSpell_01
Link|SpellActivationWhileChanneling|Spell Activation while Channeling|Icon_LinkSkill_OnChannelingSpell_01
Link|ConvertColdDMG|Convert Cold DMG|Icon_LinkSkill_DmgToColdDmg_01
Link|ConvertLightningDMG|Convert Lightning DMG|Icon_LinkSkill_DmgToLightningDmg_01
Link|TimeWarp|Time Warp|Icon_LinkSkill_TimeDistort_01
Link|Sharpness|Sharpness|Icon_LinkSkill_ColdCrush_01
Link|StatusEffectEnhancement|Status Effect Enhancement|Icon_LinkSkill_AnyAbsIncrease_01
Link|DoT|DoT|Icon_LinkSkill_IncDotDmg_01
Link|MinionArmor|Minion Armor|Icon_LinkSkill_ArmorSummon_01
Link|LingeringTotem|Lingering Totem|Icon_LinkSkill_TotemA_01
Link|LifeImbuedTotem|Life Imbued Totem|Icon_LinkSkill_TotemB_01
Link|EnhancedTotem|Enhanced Totem|Icon_LinkSkill_TotemC_01
Link|DoTEnhancement|DoT Enhancement|Icon_LinkSkill_DmgBoost_01
Link|SpellDMGIncrease|Spell DMG Increase|Icon_LinkSkill_AccelerationCast_01
Link|PreserveMana|Preserve Mana|Icon_LinkSkill_SaveMP_01
Link|ExtractEnergy|Extract Energy|Icon_LinkSkill_AbsorbEnergy_01
Link|OverCooling|Over Cooling|Icon_LinkSkill_PreservedCold_01
Link|Cooler|Cooler|Icon_LinkSkill_CoolingDevice_01
Link|Readiness|Readiness|Icon_LinkSkill_WarmUpExercise_01
Link|ExtractColdEnergy|Extract Cold Energy|Icon_LinkSkill_ExtractEnergyCold_01
Link|ExtractLightningEnergy|Extract Lightning Energy|Icon_LinkSkill_ExtractEnergyLightning_01
Link|Chain|Chain|Icon_LinkSkill_Chain_01
Link|ElementDMGAmplification|Element DMG Amplification|Icon_LinkSkill_ElementalSpecialist_01
Link|FinishingStrike|Finishing Strike|Icon_LinkSkill_FinishAttack_01
Link|MinionDMG|Minion DMG|Icon_LinkSkill_MinionIncDmg_01
Link|ElectricShock|Electric Shock|Icon_LinkSkill_LightningShock_01
Link|TotemAffinity|Totem Affinity|Icon_LinkSkill_NearToTotem_01
Link|Impact|Impact|Icon_LinkSkill_AddStunProcWhenCrit_01
Link|Acceleration|Acceleration|Icon_LinkSkill_AQuickRoar_01
Link|IncreaseEssenceDropChance|Increase Essence Drop Chance|Icon_LinkSkill_EnchantPer_01
Link|IncreaseCharmDropChance|Increase Charm Drop Chance|Icon_LinkSkill_CharmPer_01
Link|IncreaseAlchemyIngredientDropChance|Increase Alchemy Ingredient Drop Chance|Icon_LinkSkill_MaterialPer_01
Link|IncreaseElementDropChance|Increase Element Drop Chance|Icon_LinkSkill_ElementPer_01
Link|DampenResourceCost|Dampen Resource Cost|Icon_LinkSkill_CostDown_01
Link|BuffActivationUponUsingMovementSkill|Buff Activation upon using Movement Skill|Icon_LinkSkill_OnMovementSpell_01
