# category|tier|unlockLevel|maxPoints|prereqPointsPrevTier|effect (0 = per-point value placeholder). Source: https://undecember.thein.ru/en/runemaster/
Skill Rune|1|1|10|0|+0% Enhance Skill Rune Cooldown Recovery Speed
Skill Rune|2|1|10|5|+0% Enhance Skill Rune Duration
Skill Rune|3|1|10|5|+0% Enhance Skill Rune Effect
Skill Rune|4|30|2|5|+0 Enhance Skill Rune Level
Shout|1|1|10|0|+0% Shout Skill Rune Cooldown Recovery Speed
Shout|2|1|10|5|+0% Shout Skill Rune Duration
Shout|3|1|10|5|+0% Shout Skill Rune Effect
Shout|4|30|2|5|+0 Shout Skill Rune Level
Totem|1|1|10|0|+0% Totem Effect Range
Totem|2|1|10|5|+0% Totem Duration
Totem|3|1|10|5|+0% Totem Effect upon summoning Totem
Totem|4|30|2|5|+0 Totem Skill Rune Level
Seal and HP Potion|1|1|10|0|-0% Seal Skill Rune Resource Cost
Seal and HP Potion|2|1|15|5|+0% HP Potion Cooldown Recovery Speed
Seal and HP Potion|3|1|15|8|+0% HP Potion Effect
Seal and HP Potion|4|1|15|8|+0% HP Potion Duration
MP Potion|1|1|15|0|+0% Mana Potion Cooldown Recovery Speed
MP Potion|2|1|15|8|+0% Mana Potion Effect
MP Potion|3|1|15|8|+0% Mana Potion Duration
Enhance Potion|1|1|15|0|+0% Enhance Potion Cooldown Recovery Speed
Enhance Potion|2|1|15|8|+0% Enhance Potion Effect
Enhance Potion|3|1|15|8|+0% Enhance Potion Duration
