# rarity|slug|name|icon (source: https://undecember.thein.ru/en/runecast/)
Magic|SentryDMGStatusEffectChanceMagicRunestone|Sentry DMG Status Effect Chance Magic Runestone|Icon_Equipment_AddDmgAbsProcRateToMinion
Magic|StatusEffectDMGAmplificationMagicRunestone|Status Effect DMG Amplification Magic Runestone|Icon_Equipment_MorDmgAbsDmg
Magic|MinionStatusEffectDMGAmplificationMagicRunestone|Minion Status Effect DMG Amplification Magic Runestone|Icon_Equipment_MorDmgAbsDmgToMinion
Magic|SentryStatusEffectDMGAmplificationMagicRunestone|Sentry Status Effect DMG Amplification Magic Runestone|Icon_Equipment_MorDmgAbsDmgToCrossbow
Rare|HitRateRareRunestone|Hit Rate Rare Runestone|Icon_Equipment_RuneCastIncAccuracy
Rare|CriticalRateRareRunestone|Critical Rate Rare Runestone|Icon_Equipment_RuneCastIncAllCritProc
Rare|DMGRareRunestone|DMG Rare Runestone|Icon_Equipment_RuneCastIncAllDmg
Rare|MinionDMGRareRunestone|Minion DMG Rare Runestone|Icon_Equipment_RuneCastIncMinionAllDmg
Rare|SentryDMGRareRunestone|Sentry DMG Rare Runestone|Icon_Equipment_RuneCastIncCrossBowAllDmg
Rare|ManaRecoveryRareRunestone|Mana Recovery Rare Runestone|Icon_Equipment_RuneCastAddMPGainOnHit
Rare|BossDMGRareRunestone|Boss DMG Rare Runestone|Icon_Equipment_RuneCastIncAllDmgToBoss
Rare|CriticalDMGRareRunestone|Critical DMG Rare Runestone|Icon_Equipment_RuneCastAddAllCritDmgRate
Rare|MinionCriticalDMGRareRunestone|Minion Critical DMG Rare Runestone|Icon_Equipment_RuneCastCritDmgRateToMinion
Rare|SentryCriticalDMGRareRunestone|Sentry Critical DMG Rare Runestone|Icon_Equipment_RuneCastCritDmgRateToCrossBow
Rare|AttackEnhanceEffectRareRunestone|Attack Enhance Effect Rare Runestone|Icon_Equipment_RuneCastIncAttackBuffSkill
Rare|DefenseEnhanceEffectRareRunestone|Defense Enhance Effect Rare Runestone|Icon_Equipment_RuneCastIncDefenseBuffSkill
Rare|DMGAgainstNearEnemiesRareRunestone|DMG against near enemies Rare Runestone|Icon_Equipment_RuneCastIncDmgDistance400Below
Rare|DMGAgainstFarEnemiesRareRunestone|DMG against far enemies Rare Runestone|Icon_Equipment_RuneCastIncDmgDistance400Over
Rare|MinionHitRateRareRunestone|Minion Hit Rate Rare Runestone|Icon_Equipment_RuneCastIncAllAccuracyToMinion
Rare|SentryHitRateRareRunestone|Sentry Hit Rate Rare Runestone|Icon_Equipment_RuneCastAccuracyToCrossBow
Rare|MinionDMGOnHitAgainstFarEnemiesRareRunestone|Minion DMG on hit against far enemies Rare Runestone|Icon_Equipment_RuneCastIncAllDmgWhenDistance400OverToMinion
Rare|SentryDMGOnHitAgainstFarEnemiesRareRunestone|Sentry DMG on hit against far enemies Rare Runestone|Icon_Equipment_RuneCastIncAllDmgWhenDistance400OverToCrossBow
Rare|DoubleMaximizedDMGChanceRareRunestone|Double Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastDoubleDamageProc
Rare|MinionDoubleMaximizedDMGChanceRareRunestone|Minion Double Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastDoubleDamageProcToMinion
Rare|SentryDoubleMaximizedDMGChanceRareRunestone|Sentry Double Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastDoubleDamageProcToCrossBow
Rare|TripleMaximizedDMGChanceRareRunestone|Triple Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastTrippleDamageProc
Rare|MinionTripleMaximizedDMGChanceRareRunestone|Minion Triple Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastTrippleDamageProcToMinion
Rare|SentryTripleMaximizedDMGChanceRareRunestone|Sentry Triple Maximized DMG Chance Rare Runestone|Icon_Equipment_RuneCastTrippleDamageProcToCrossBow
Rare|ElementPenetrationRareRunestone|Element Penetration Rare Runestone|Icon_Equipment_AddElePen
Rare|SentryElementPenetrationRareRunestone|Sentry Element Penetration Rare Runestone|Icon_Equipment_AddElePenToCrossBow
Rare|MinionElementPenetrationRareRunestone|Minion Element Penetration Rare Runestone|Icon_Equipment_AddElePenToMinion
Rare|DMGStatusEffectChanceRareRunestone|DMG Status Effect Chance Rare Runestone|Icon_Equipment_AddDmgAbsProcRate
Rare|SentryDMGStatusEffectChanceRareRunestone|Sentry DMG Status Effect Chance Rare Runestone|Icon_Equipment_AddDmgAbsProcRateToMinion
Rare|MiinionDMGStatusEffectChanceRareRunestone|Minion DMG Status Effect Chance Rare Runestone|Icon_Equipment_AddDmgAbsProcRateToCrossbow
Rare|DoubleMaximizedDMGRareRunestone|Double Maximized DMG Rare Runestone|Icon_Equipment_DoubleDMGApplyRate
Rare|MinionDoubleMaximizedDMGRareRunestone|Minion Double Maximized DMG Rare Runestone|Icon_Equipment_DoubleDMGApplyRateToMinion
Rare|SentryDoubleMaximizedDMGRareRunestone|Sentry Double Maximized DMG Rare Runestone|Icon_Equipment_DoubleDMGApplyRateToCrossbow
Unique|RuneGrowthUniqueRunestone|Rune Growth Unique Runestone|Icon_Equipment_RuneCastAddEquipRuneLevel
Unique|ResourceCostUniqueRunestone|Resource Cost Unique Runestone|Icon_Equipment_RuneCastAddResource
Unique|HitRateUniqueRunestone|Hit Rate Unique Runestone|Icon_Equipment_RuneCastIncAccuracy
Unique|BossDMGUniqueRunestone|Boss DMG Unique Runestone|Icon_Equipment_RuneCastIncAllDmgToBoss
Unique|DMGUniqueRunestone|DMG Unique Runestone|Icon_Equipment_RuneCastIncAllDmg
Unique|DMGAmplificationUniqueRunestone|DMG Amplification Unique Runestone|Icon_Equipment_RuneCastMorAllDmg
Unique|CriticalRateUniqueRunestone|Critical Rate Unique Runestone|Icon_Equipment_RuneCastIncAllCritProc
Unique|CriticalDMGUniqueRunestone|Critical DMG Unique Runestone|Icon_Equipment_RuneCastAddAllCritDmgRate
Unique|HPRecoveryUniqueRunestone|HP Recovery Unique Runestone|Icon_Equipment_RuneCastAddHPGainOnHit
Unique|MinionDMGUniqueRunestone|Minion DMG Unique Runestone|Icon_Equipment_RuneCastIncMinionAllDmg
Unique|SentryDMGUniqueRunestone|Sentry DMG Unique Runestone|Icon_Equipment_RuneCastIncCrossBowAllDmg
Unique|MinionDMGAtFullMinionHPUniqueRunestone|Minion DMG at Full Minion HP Unique Runestone|Icon_Equipment_RuneCastIncAllDmgWhenMaxHPToMinion
Unique|SentryDMGAtFullSentryHPUniqueRunestone|Sentry DMG at Full Sentry HP Unique Runestone|Icon_Equipment_RuneCastIncAllDmgWhenMaxHPToCrossBow
Unique|DMGAtFullHPUniqueRunestone|DMG at Full HP Unique Runestone|Icon_Equipment_RuneCastIncAllDmgWhenMaxHP
Unique|DMGPenetrationUniqueRunestone|DMG Penetration Unique Runestone|Icon_Equipment_RuneCastAllDmgPenRate
Unique|MinionDMGPenetrationUniqueRunestone|Minion DMG Penetration Unique Runestone|Icon_Equipment_RuneCastAllDmgPenRateToMinion
Unique|SentryDMGPenetrationUniqueRunestone|Sentry DMG Penetration Unique Runestone|Icon_Equipment_RuneCastAllDmgPenRateToCrossBow
Unique|AttackSealEffectUniqueRunestone|Attack Seal Effect Unique Runestone|Icon_Equipment_RuneCastIncOffAuraEffect
Unique|DefenseSealEffectUniqueRunestone|Defense Seal Effect Unique Runestone|Icon_Equipment_RuneCastIncDefAuraEffect
Unique|DoubleMaximizedDMGUniqueRunestone|Double Maximized DMG Unique Runestone|Icon_Equipment_DoubleDMGApplyRate
Unique|MinionDoubleMaximizedUniqueRunestone|Minion Double Maximized Unique Runestone|Icon_Equipment_DoubleDMGApplyRateToMinion
Unique|SentryDoubleMaximizedUniqueRunestone|Sentry Double Maximized Unique Runestone|Icon_Equipment_DoubleDMGApplyRateToCrossbow
Unique|StatusEffectDMGAmplificationUniqueRunestone|Status Effect DMG Amplification Unique Runestone|Icon_Equipment_MorDmgAbsDmg
Unique|MinionStatusEffectDMGAmplificationUniqueRunestone|Minion Status Effect DMG Amplification Unique Runestone|Icon_Equipment_MorDmgAbsDmgToMinion
Unique|SentryStatusEffectDMGAmplificationUniqueRunestone|Sentry Status Effect DMG Amplification Unique Runestone|Icon_Equipment_MorDmgAbsDmgToCrossbow
